time          	brand_name    	[PROF|MEDI]
230816_0026_34	hermes        	[DONE|DONE]
230816_0026_36	chanelofficial	[DONE|DONE]
230816_0026_42	dior          	[DONE|DONE]
230816_0026_48	louisvuitton  	[DONE|DONE]
230816_0026_52	gucci         	[DONE|DONE]
230816_0026_56	prada         	[DONE|DONE]
230816_0027_00	ysl           	[DONE|DONE]
230816_0027_02	celine        	[DONE|DONE]
230816_0027_04	maisonvalentino	[FAIL|FAIL](#4) Application request limit reached
230816_0027_09	miumiu        	[FAIL|FAIL](#4) Application request limit reached
230816_0027_12	fendi         	[FAIL|FAIL](#4) Application request limit reached
