time          	brand_name    	[PROF|MEDI] 
230816_0149_51	hermes        	[DONE|DONE] 
230816_0149_53	chanelofficial	[DONE|DONE] 
230816_0149_56	dior          	[DONE|DONE] 
230816_0150_04	louisvuitton  	[DONE|DONE] 
230816_0150_07	gucci         	[DONE|DONE] 
230816_0150_14	prada         	[DONE|DONE] 
230816_0150_17	ysl           	[DONE|DONE] 
230816_0150_19	celine        	[DONE|DONE] 
230816_0150_21	maisonvalentino	[DONE|DONE] 
230816_0150_25	miumiu        	[DONE|DONE] 
230816_0150_27	fendi         	[DONE|DONE] 
